3	11	Insane in the Mainframe	3	12	20010422	45
Announcer	Thompson's,Teeth,teeth,strong,eat,teeth
Fry	don't,belong,Bender,asylum,insane,robots
Bender	meet,half,qualifications
Fry	Oh,good,physical,examine,fragile,naked,pink,body,they'll,I'm,a,,
Fry	the
Bender	offensive
Dr Perceptron	Greetings,Dr,Perceptron,Let,help,relax
Fry	Look,There's,terrible,mistake,I'm,human,I'm,squishy,flabby,complain,lot
Dr Perceptron	Yes,You,need,relax,Terrific,consider,following,admitted,robot,asylum,robot,Diagnosis,complete
Fry	human,stuff,age
Nurse Ratchet	I'm,Nurse,Ratchet,come,won't
Nurse Ratchet	We'll,meet,roommate,shall,Malfunctioning,Eddie
Fry	car,dealer,Wow,guess,prices,really,insane
Nurse Ratchet	He's,excitable,don't,say,excite
Malfunctioning Eddie	Pleased,meet
Fry	Actually,we've,met
Malfunctioning Eddie	
Hairbot	I'm,pretty,girl,I'm,pretty,girl,I'm,pretty,girl
Bender	Whoa,busy,day
Fry	roommate,exploded,Oh,gotta,help,Bender,prove,I'm,human
Bender	drop,dead,That'd,'em
Fry	don't,wanna
Unit 2013	Hey,man,believe,you're,human
Fry	
Unit 2013	Sure,don't,believe,I'm,human,Name's,Unit,2013,C'mon,Lemme,introduce,Fry,meet,Norm,How's,going,pal,picking,transmissions,CIA,teeth
Norm	just,won't,stop
Woman	CIA,cafeteria,menu,week,15th,follows,Monday,shepherd's,pie,Tu,,
Unit 2013	Cuckoo
Fry	Let,guess,thinks,he's,Lincoln
Unit 2013	he's,supposed,Problem,he's,got,multiple,personalities,,,,Lincoln
Lincolnbot	born,200,log,cabins
Unit 2013	Frankie,He's,convinced,he's,lunchroom,worker,work,lunchroom,work,lunchroom,Frankie
Frankie	It's,alright
Unit 2013	Poor,Frankie
Mad Hatterbot	Change,places
Fry	Bender,can't,want,outta
Bender	crazy,place,great,Electroshock,want,Lincolns,Napoleon,Ah,Sweet,light,crude
Fry	I'm,robot,like,don't,like,having,discs,crammed,Unless,they're,Oreos,,,,mouth,Don't,understand,I'm,gonna,die
Bender	Ah,quit,bellyaching,like,robot
Mad Hatterbot	Change,places
Victor	doctor,says,making,great,strides,exploding,problem
Malfunctioning Eddie	way,it,,
Fry	gotta,starved,death,sick,vending,machine,robot,Gimme,Gimme
Hermes	Poor,Fry,He's,got,munchies,freedom
Leela	We're,trying,help,We've,petitioned,governor,doesn't,want,appear,soft,people,who've,falsely,imprisoned
Fry	friends,outside,Bender's,help
Bender	Je,suis,Napoleon,seriously,I'm
Amy	Bender,ashamed,usual
Bender	Ah,lighten,honey,I'm,just,trying,difficult,time,using,humour
Nurse Ratchet	Visiting,hours,Time,medication,disks
Fry	Help,God's,sake,help
Farnsworth	Oh,don't,worry,Fry,spent,nightmare,ish,time,robot,asylum,it's,nearly,long
Fry	Oh,God,What
Dr Perceptron	released
Fry	Finally,Sweet,justice,Sweet,juicy,justice
Dr Perceptron	
Malfunctioning Eddie	surprise,Look
Malfunctioning Eddie	barely,exploded
Dr Perceptron	control,medication
Nurse Ratchet	Fry,ready,meet,new,roommate
Roberto	Hi,Red
Fry	Roberto,W,W,W,What,doing
Roberto	got,busted,robbing,bank
Fry	hold,bank,twice
Roberto	Ah,time,just,case,joint,rob,little,What's,matter,scared
Fry	N,N,,,N,,
Roberto	Noticeably,I'll,say,stand,gotta,practise,stabbing
Fry	Help,Stop
Bender	Hey,I'm,tuning,banjo
Roberto	Jeez,Red,Quit,cowering,robot
Fry	I'm,robot,I'm,robot
Dr Perceptron	answer,question,Hermes,yes,friend,cured
Hermes	Oh
Farnsworth	relief
Leela	Thank,God
Dr Perceptron	You'll,notice,longer,suffers,delusions,humanity
Fry	Affirmative,feel,robot,Beep,beep,beep
Leela	You've,terrible,mistake,He's,human,machine,Oh,Fry
Bender	Bonjour,y'all
Zoidberg	Listen,Fry,Just,think,you're,robot,doesn't,make,robot,think,I'm,doctor,doesn't,make,doctor,fancy,clothes
Fry	Negative,robot,human,women,refuse,date
Leela	Oh,lots,reasons
Fry	Bio,units,terminate,noise,exchange,time,ingest,sandwiches,compartment
Bender	Just,minute,Aha
Commentator	stretch,it's,Daddy's,Little,Grandpa,followed,Perennial,Loser,bringing,rear,it's,Lasty
Bender	Come,Lasty
Roberto	Hey,Bender
Bender	Roberto,Ooh,surprise,Especially,'cause,didn't,squeal,remember,Remember,squealing,didn't,Remember
Roberto	Yeah,yeah,lie,play,dead,don't,ham
Bender	Uh,sure,buddy
Roberto	Wait,Bender,need,disguise
Bender	Uh,what's,get,up
Roberto	I'm,disguise,'cause,I'm,thinking,escaping,gotta,kill,you,don't,squeal
Bender	I'm,I'm,planning,breakout
Roberto	I'm,thinking,maybe,seconds,ago
Bender	Quick,Let's,escaping
Hermes	Times,carry
Fry	Oh,sad,worthless,human
Hermes	ya,Sacred,hog,Prague,anniversary,gift,LaBarbara
Fry	Fear,shall,assist,ye
Hermes	Robots,don't,say,ye
Fry	Relax,mammal,robotic,software,shall,meet,calculatory,needs,meaning,symbol
Hermes	That's,plus,sign,pointy,haired,loony,Quit,thinking,you're,robot
Fry	I'll,ye
Fry	Stand,I'm,tool,bot
Leela	You're,tool,bot,You're,food,motron,You're,robot,kind
Fry	Yes,I,simply,haven't,discovered,primary,function
Leela	OK,gotta,stop,I'm,going,remind,Fry,humanity,way,woman
Farnsworth	You're,going,laundry
Leela	Fry
Fry	Beep
Leela	Oh,God's,sake
Zoidberg	scallop's,forelocks,What's,beer,Fry
Fry	Beep
Roberto	Thanks,helping,escape,Bender
Bender	Oh
Roberto	wanna,repay,Let
Roberto	Hands,stick,up
Bender	Wow,Hitting,place,times,admire,style,Roberto
Roberto	Gimme,remaining,dough,calendars,pen,Try,tear,beads,end
URL	Police,You're,busted
Smitty	don't,try,glass,laser,proof,Duck,Lasers
Bender	Come,got,place,like,hide,crimes
Amy	Aw,looks,like,little,insane,drunken,angel
Bender	Hey,everybody,Meet,good,pal,Roberto
Hermes	Hey,mon
Roberto	Nice,meet
Smitty	Come,hands
Roberto	Hostages
Roberto	got,hostages
Zoidberg	Hooray,I'm,helping
Smitty	better,hostages
Roberto	who's,crazy,I'm,gonna,execute,'bout
Farnsworth	Ouch,That's,going,bleed,heart,beats
Leela	Wait
Bender	Yes
Roberto	Shut,Stop,telling
Zoidberg	Oh,fear
Roberto	I'm,thinking,number,Guess,die
Bender	Um,OK,Fifty,ish
Roberto	56,56,Oh,man,that's,think,I'm,gonna,kill,you,good,56,ing,,
Bender	Don't,kill,I'm,starting,come,Stockholm,Syndrome,handsome
Fry	Halt,fellow,robot
Roberto	Hey,Red,You're,just,time,join,hostage,situation,wanna
Fry	kicks,twisted,metal,ass
Leela	Fry,Stay,He's,powerful
Fry	Negative,bossy,meat,creature,know,primary,function,battle,droid,Sworn,protect,weak,crazy,robots
Roberto	I'm,crazy,Don't,crazy,I'm,just,user,friendly
Hermes	Fry,Don't,hero,It's,covered,health,plan
Roberto	Let's,robot,really
Fry	knife,penetrate,skin,tanium,armour
Roberto	Help,Help,battle,droid,Somebody,help,Mommy,I'm,sorry,spilled,transmission,fluid,Mommy,No,Don't,weld,wall,Mommy
Smitty	We're,willing,listen,demands
URL	Hey,baby,Wash
Hermes	Who's,brave
Amy	Hooray
Zoidberg	Bravo
Leela	did,Fry
Bender	Congratulations,buddy,You're,credit,race
Fry	Blood,Robots,don't,blood,a,,
Zoidberg	squid
Fry	human,Oh,God,I'm,human
Zoidberg	good
Leela	Thanks,saving,Fry
Fry	I'm,gonna,continue,washing,cheek
Bender	Buddy,wrapped,greasy,skin,inside,you've,got,heart,robot
Fry	Aw,Thanks,Bender
Bender	Just,like,inside,I've,got,heart,human
Bender	
