5	7	The Beast with a Billion Backs Part 3	6	7	20081019	79
Mayor Poopenmeyer	Look,sky
Bender	Bender,wrong,said,Oh,'Cause,roommate,doesn't,notice,care,I'm,upset
Fry	Bender,wrong
Bender	Yes,joined,club,thought,cool,turns,leaguie,weegies,totally,lame,That's,leaguie,weegies
Fry	I'm,sorry,should've,asked,bothering,I've,kind,preoccupied
Bender	
Fry 	went,universe,fell,love,giant,octopus,I'm,pope,new,religion
Bender	Weren't,pope
Fry	
Bender	Oh,I'm,just,saying,I'd,like,life
Fry	Okay,let's,catch,soon,right,gotta,shove,tentacle,China
Linda,Morbo
Morbo	universe,falls,prey,revolting,alien,isolated,pockets,resistance,remain
Linda	pockets,sure,missing,great,thing
Leela	Amy
Amy	Sorry,thought,saw,tentacle,just,harmless,land,squid,better,cocoffee
Hermes	gave,diapers,parents,promised,exactly,happen
Leela	panic,Just,panic,room
Fry	people,great,week,got,90%,world,leaders,bought,Hanes,undershirt,year's,promising,new,RB,group,Grammy,nominated,Funkalistics
The Funkalistics	Talkin','bout,tentacle
Farnsworth	Good,news,night,inventing,finally,invented
Amy	Invented
Farnsworth	neck,protector,neck,protector,junior,limited,time,lady,neck,protector
Hermes	I'll,neck,huge
Farnsworth 	We're,perfectly,safe,Time,stop,living,like,bunch,nervous,nellies
Leela	Professor,look,like,cut,cardboard,toilet,paper,tubes
Farnsworth	Lots,important,inventions,toilet,paper,tubes,Microscopes,internet,tentacle,polish
Leela	got,professor
Hermes	Wait,screaming,got
Wernstrom	Stop,love
Leela	Crud,normal,people,Earth,won't,trim,elbow,talons,anymore
Amy 	I'm,scared,miss,Kif
Leela	It's,okay,Amy,Come,I'm,wearing,absorbent,shoulder,straps
Zapp	Mmm,erotic,display,girl,on,girl,consolation
Leela	Zapp
Zapp	Hurry,Leela,don't,time,begin,repopulating,Earth,brush,teeth,I'll,waiting,naked,keh,suh,dilluh
Hermes	Stop,resisting,brethren,Don't,want,bigger,Like,big,crazy,monster
Fry	got,huh,Bring
Zoidberg	
Fry	Hello,Colleen
Colleen	Fry
Colleen	futon,sold,pay,phone,skipped
Fry	Colleen,wasn't,satisfied,Colleen
Colleen	Come,Fry,isn't,cool
Fry	boyfriends,guess,thought,I'd,tentacle,pope,world
Colleen	know,It's,true,weren't,man,great,weren't,Chinese,weren't,Cameroonian,certainly,king,karaoke,claimed,ego,can't,don't,deserve,tentacle,pope
Fry,completely,agree
Colleen 	you
Fry 	satisfied,man,love,needs,share,itself,universe
Colleen	Wow,Fry,know,that's,really
Fry	Love,tentacle,honey
Colleen	love,tentacle
Fry	Come,guys,There's,love,everybody
Zoidberg	Aw
Amy	We're,trapped
Leela 	Help,help
Bender,'Sup,bigboots
Leela	Bender,need,place,hide
Amy	
Zapp	Pretty
Bender 	humans,cute,you're,scared
Destructor 	leg,feels,funny
Bender	Humans,disgusting,opened,barfed
Destructor	Did,know,hair,just,keeps,growing,growing,leg,feels,funny
Amy	Leela,you're,crushing,rock,hard,butt
Leela	Sorry
Zapp	Mmm,imagine,rock,hard,Leela,crushing
Calculon	mind,turn,heat,tad
Zapp	can't,I'm,steamed,velour
Bender	Death,humans
Destructor	leg,feels,better
Amy	Hi,Bender
Calculon	Bender,know,humans
Bender	course,humans,pointing,exit,go
Leela 	Thanks,Bender
Bender	Death
Calculon	Bender,methinks,thou,doth,protest
Hedonism Bot	Bender,hates,humans,way,hate,having,nipples,polished,industrial,sandpaper
British Robot 	Quite,right
Calculon 	It's,okay,Bender,heir,human
Bender	Sir,forget
Bender	challenge,duel,field,honor
Hedonism Bot	Oh
Zapp	Leela,it's,getting,dark,make,tent,Amy's,skin
Amy	Look,there's,abandoned,cabin
Zapp	
Leela	We're,luck,cabin,soup,bootlegger,days,soup,prohibition
Zapp	Oh,yeah,Bathtub,minestrone
Amy	Poor,Kif,can't,believe,he's,gone,forever
Zapp	Ditto,grief,Amy
Amy	miss
Zapp	mere,wife,understand,fourth,lieutenant,God's,sake,bore,peppermill,captain's,table
Amy	Really
Zapp 	Oh,Amy,miss,Hardly,month,goes,don't,think,know,way,he's,feel,presence
Amy 	I'm,sure
Zapp	It's,Closer
Leela	Amy,Zapp,fetched,fresh,soup
Zapp	Sorry,like,Leela,hoping,you'd,YouTube,ex,lover,you're,naturally,shocked,jealous,chance,someday,today,400
Amy	Hey,isn't,bad
Zapp	She's,right,Leela,try,tentacle,It's,like,soul,wearing,velour,body,glove
Leela	I'm,saving,neck,rich,handsome,Dracula
Farnsworth	love,tentacle,don't,need,bowels,anymore,It's,handled,family,Evanston
Leela	can't
Farnsworth 	Leela,what's,favourite,thing,tentacle,don't,tentacle,her,love
Zoidberg	You're,minutes,Excellency,sure,don't,want,comedy,pope,staff
Fry	tentacle,monster,address,world,It's
Zoidberg	Oh
Leela 	Hello,Fry
Fry	Leela,did,past,sumo,ninjas
Leela	told,shocking,let
Fry	What's
Leela	love,tentacle
Zoidberg	We're,rolling,We're,rolling
Fry	Love,tentacle
ALL	Love,tentacle
Fry	Loved,ones,Monsterpus,revealed,unto
Morbo	love's
Fry	Yivo,Yivo,lover,beings,male,female,Yivo,gender,Yivo,proclaimed,instead,use,word,shklee,instead,use,word,shklim,shkler
Hermes	Phew,I've,sweating,nomenclature,week
Fry	shklee,shklerself,Yivo
Colleen	Yay,Yivo
Yivo	Attention,beings,Universe,Gamma
Zoidberg	
Yivo	
Zoidberg	hunch
Yivo	Yivo,universe,universe,trillion,years,dwelt,solitude,content,job,stamp,collecting,looked,immensity,saw,big,bang,like,Whoa,who's,knew,lonely
Morbo 	poor,monster
Yivo	emissary,Fry,came,unto,lonely,reached,universe,feel,other's,touch
Leela	Hey,Yivo,feel
Yivo	Ow
Leela	People,shocking,news
Yivo	Hey,butt,existence
Leela	Yivo,talks,lot,love,he's,actually,doing
Hermes	shklee's,actually,doing
Leela	mating,aren't,tentacles,They're,genticles
Fry	Ew
