6	26	Reincarnation	8	13	20110908	114
Galactic Entity	wise,man,said,really,dies,just,comes,new,form,died,time,lowly,salamander,think,twice,step,It,Stand,Reincarnation
Professor Farnsworth	course,Having,mouths,ears,communicate,motions
Fry	odours
Bender	'ow,communicate
Amy,Leela Fry Bender Hermes	Ha,ha,ha,ha,ha,ha,ha
Leela	hope,talk,doing,peace,dance,smoother,an',fluid,movement,mankind,capable
Fry	hire,buttered,geisha
Professor Farnsworth	ill,timed,jokes,Fry
Fry	an',enemies
Zoidberg	Hear,words,believe,humble,member,Action,Delivery,Team,dance
Hermes	Surely,heart,shell,rigid,peace,dance
Zoidberg	Aw
Bender	course,peace,dance,need,'elp
Bender Fry	Super,Dance,Squad,initiate
Amy	hope,they're,communicating,peaceful,message
Subtitle	Hey,aliens,kill,dishonor,widows,making,gather,wood,weapon
Professor Farnsworth	Wha,wha,thought,smart,science,dancing,look,Gigatron's,mercy
Zoidberg	shame,great,It's,time,end,Huh,yah,Feh
Leela	Zoidberg,stop,scared,right,enjoy,ceremony,death
Zoidberg	hara,kiri,today,heiwa,dansu,gelatinous,dance,peace
Hermes	gelatinous,Mochi,Phanton,perform,intricate,motions
Zoidberg	Says,salaryman
Subtitle	medical,crab,doing
Zoidberg	Behold,dance,peace
Bender	dance,complex,eye,barely,follow
Zoidberg	humblest,Team,member,given
Amy	underestimated,medical,crab,Aliens,understand
Subtitle	understand,peace
Subtitle	Farewell,Action,Team
Professor Farnsworth	Zoidberg,greatest,hero,saved
Zoidberg	threat,stars,sure,arise,week,time
Leela	
Bender Fry	Action,Delivery,Force,star,hero,rocket,engage
