2	4	Xmas Story	2	8	19991219	17
Announcer	Ladies,gentlemen,Conan,O'Brien's,head
Amy	can't,stay,Xmas,Eve,You'll,killed
Fry	Say
Farnsworth	Good,Lord,doesn't,know,Santa,Claus
Fry	know,Santa,Claus
Farnsworth	2801,Friendly,Robot,Company,built,robotic,Santa,determine,who'd,naughty,who'd,nice,distribute,presents,accordingly,went,wrong
Fry	Wow,2801
Farnsworth	Wait,fool,programming,error,Santa's,standards,set,high,invariably,judges,naughty
Amy	catches,dark,he'll,chop,head,stuff,neck,toys,sack,horrors
Farnsworth	Nice,meeting
Preacherbot	Welcome,brother,blessings,season
Bender	Yeah,yeah,amen,Listen,I'm,lazy,homeless,bums,I've,hearing,point,free,booze,Oh,yeah,Oh,yeah
Fry	There's,girl,really,like,thinks,I'm,jerk,help
Salesman #1	Yeah,there's,suicide,booth,food,court,there's,line,time,year
Fry	need,gift,need,sundown
Salesman #1	can't,wrong,traditional,Surface,to,Santa,rocket,launcher,comes,jolly,seeking,missiles
Fry	That's,funny
Salesman #1	Careful,sir
Bender	Oh,yeah,filthy,hobos,sure,know,live,Hey,chief,someone's,stealing,handkerchief,crap
Tinny Tim	Excuse,sir,sip,booze
Preacherbot	I'm,sorry,Tinny,Tim,ran,early,tonight
Tinny Tim	understand
Bender	God,poor,kid
Fry	You're,store,open,need,friend,Leela,Just,best,animal
Salesman #2	Best,that's,matter,opinion,personally,like,Electric,Snail
Fry	That's,stupid,animal,You're,stupid,said,want,best,costs,parrot,Stink,Lizard
Salesman #2	lizards,buck,parrot,$500
Fry	That's,hell,good,parrot,500,lizards,price,Girls,like,swarms,lizards,right
Salesman #2	Sir,store,closing,minutes
Fry	Alright,I'll,500,lizards,wait,yes,Yes,Yes,Yes,parrot
Fry	spent,penny,I,bet,Leela's,gonna,love,Stupid,bird,know,live
Amy	Hey,it's,Leela
Leela	Sorry,stormed,didn't,mean,ruin,everyone's,Xmas
Farnsworth	Huh,gone
Leela	It's,just,tired,Fry,thinking,himself
Hermes	hear,aks,set,table,instead,goes,buy,present,Selfish,dog
Leela	Wait,mean,he's,life's,danger
Zoidberg	
Leela	I'm,telling,Santa,Claus,coming,town
Fry	Alright,bird,thought,beat,game,wits,just,met,equal
Fry	Aha,Cornered
Leela	Hi
Fry	Leela,Oh,God,saved,life,gonna,lizards
Leela	didn't,need,buy,present,Fry
Fry	just,wanted,to,make,happy,mean,miss,family,family
Leela	It's,OK,You're,lonely,I'm,lonely,we're,lonely
Fry	Merry,Xmas,Leela
Leela	Merry,Xmas
Fry	Oh,boy,It's,Santa
Santa	Ho,ho,ho,You've,naughty,Fry,Leela,checked,list
Fry	check,twice
Santa	perform,50,mega,checks,second,You're,naughty,disregarding,other's,feelings
Leela	set,things,right,Fry,risked,life,present
Santa	co,workers,Did,stop,think,Dr,Zoidberg's,feelings
Fry	swear
Santa	Santa,special,sack
Robots	lock,door,hit,floor
Hattie	away
Bender	Whoa,hold,inviting,traditional,glass,hard,cider
Hattie	Oh,alright,just,glass,said,that's
Bender	purse
Fry	let,live,We'll,milk,cookies
Santa	dare,bribe,Santa,I'm,going,shove,coal,far,stocking,you'll,coughing,diamonds
Leela	We're,trapped
Fry	thought,end,way,Gunned,Santa,Claus,Honestly,didn't,coming
Leela	Goodbye,Fry
Fry	Goodbye,Leela,Hey,look,we're,mistletoe
Santa	mistletoe,match,TOW,missile
Fry	Uh,you're,present,need,assembly
Bender	4th,day,Xmas,stole,lady
Robot #1	family,photos
Tinny Tim	jars,pennies
Robot #2	husbands
Bender	slipper,shoe,tree
Raoul	Oh,thank
Fry	Help
Leela	Somebody,help
Tinny Tim	It's,humans,Shall,mug,robot,sir
Bender	wait,know,guys,got
Santa	Ho,ho,ho,You've,naughty,Bender
Bender	didn't,You're,thinking,kid
Santa	God,Bender,Framing,orphan,That's,naughty,I'll,add,list,right
Zoidberg	Amy,set,combs,beautiful,hair
Amy	Oh,that's,sweet,sold,hair,wigmaker,buy,set,combs,Hermes
Hermes	Oh,irony,sold,hair,buy,set,combs,Zoidberg
Zoidberg	Thank,These'll,come,handy,new,hair,Finally,look,pretty,feel
Fry	Help
Leela	Help
Bender	Help
Farnsworth	Oh,dear,They'll,killed,doorstep,there's,trash,pickup,January,3rd
Hermes	Sweet,manatee,Galilee,He's,roof
Farnsworth	Quick,armour,plated,chimney,cover,Push,Push
Bender	Use,teamwork
Tinny Tim	Oh,dear,Oh,dear
Santa	You've,naughty,naughty,Dr,Zoidberg
Zoidberg	pogo,stick
Santa	rest,I'm,going,tear,skin,like,wrapping,paper,deck,halls,guts
Bender	Yeah,don't,believe,Santa,Claus,Come,everybody,don't,believe,can't,hurt,Ow,God,pain
Santa	Ho,ho,ho,Time,jolly,naughty,asses
Leela	Watch,belly,shaking,like,bowl,nitro,glycerine
Amy	Rudolph's,nose
Fry	He's,gonna,blow
Zoidberg	Aha
Farnsworth	Yes,good,thing,got
Bender	Xmas,dinner
Fry	Uh,Bender,did,bird
Bender	lying,street,like,food,cook,Dig
Tinny Tim	Thank,sir
Bender	got,toenail,Oh
Fry	Look,food,isn't,what's,important
Tinny Tim	I'm,hungry
Fry	important,thing,we're,Xmas,I'm,surrounded,robots,monsters,old,people,I've,felt,home
Farnsworth	Hear,hear,let's,shut,sing
Amy	knows,sleeping
Farnsworth	knows,you're
Leela	He'll,hunt,blast,ass,Pakistan
Zoidberg	Oh
Hermes	You'd,better,breathe,You'd,better
Bender	You're,better,dead,I'm,telling,dude
Fry	Santa,Claus,gunning
Farnsworth	Merry,Xmas
Santa	I'll,Back,expect,Xmas,Ho,ho,ho
