2	16	Anthology of Interest I	2	20	20000521	29
Dial L Leela	Ken,Keeler
Scruffy	Scruffy,knows,killed,people,Scruffy's,opinion,were,,
Zoidberg	it's,just,suspected,crime,unsolvable,God,can't,murderer,was,,
Fry	I'm,bored,You're,boring,Zoidberg,I'm,gonna,watch,TV
Leela	lights,way
Fry	Whatcha,eating
Leela	Lobster,Want
Fry	Sure,Y'know,think,finally,figured,what's,mysterious,deaths
Leela	Really
Fry	Planet,Express,built,Indian,graveyard
Leela	
Fry	
Leela	
Fry	
Leela	don't,know,came,killed,person,impulse,kill,another
Fry	covers,killings
Leela	make,sure,won't,talk,I'm,gonna,really,impulsive
Leela	Fry,think,impulsive,new
Fry	like
Leela	Good,let,just,lights
Fry	really,like
Farnsworth	question,What,If,machine,Scruffy,Fry
Fry	Um,question,Bender,really,giant
Leela	idiot,saw
Fry	know,liked,wanna
Farnsworth	We're,seeing,Ask,stupid
Fry	Oh,alright,'bout,fell,freezer,doodle,came,future,jiggy
Farnsworth	question,stupid,asked,profoundly,stupid,way,happen,Fry,came,future
Fry	Hello,Pizza,delivery,Icy,Wiener,Aw,crud,left,floating,toilet
Leela	
Farnsworth	appears,fabric,space,time,ripped
Bender	Hey,look,ugly,scared,guy,Boo
Fry	monsters,Icy,Wiener
Zoidberg	that's,pizza,I'm,icy
Fry	believe,monsters,right,Mr,Panucci
Panucci	There's,real,monsters,kid,Dracula,Blacula,Son,Kong,quit,picking,nose,knead,dough,Hey,usual,Professor,Hawking
Stephen Hawking	Today,I'd,like,good
Panucci	Hawking,you're,alright,I'll,make,usual
Fry	Hey,Stephen,Hawking,Aren't,physicist,invented,gravity
Hawking	Sure
Fry	Let,ask,discovered,hole,monsters,'Cause,I'm,want,Fry,Hole
Hawking	concerned
Panucci	Hey,Hawking,pizza's,ready
Hawking	Toss,garbage
Hawking	Seize
Fry	Hey,the,,,Ooh,Ow,Ow
Fry	people
Gore	I'm,Al,Gore,Vice,Presidential,Action,Rangers,group,nerds,sole,duty,prevent,disruptions,space,time,continuum
Fry	thought,duty,cast,tie,breaking,vote,Senate
Gore	protect,space,time,continuum,Read,Constitution
Fry	Hmm,guess,you'll,wanna,Fry,Hole
Gore	meet,Action,Rangers,know,Stephen,Hawking,Nichelle,Nichols,aka,Commander,Uhura
Nichols	Incoming,transmission,MCI,Rate,department,sounds,like,limited,time,offer
Gore	Tell,I'm,tub,left,you'll,recognise,Gary,Gygax,inventor,Dungeons,Dragons
Gygax	Greetings,It's,pleasure,meet
Gore	summer,intern,Deep,Blue,world's,foremost,chess,playing
Deep Blue	Bishop,knight,4
Gore	missions,solved,chess,Deep,Blue,Someday,you'll,understand
Fry	
Nichols	You're,travelling,specially,equipped,terrestrial,transport,module
Gygax	school,bus
Fry	nerds,want
Nichols	It's,rip,space,time,saw
Hawking	Hawking,Hole
Fry	fair,saw
Hawking	Journal,Quantum,Physics,going,believe
Gygax	Mr,Fry,time,disruption,indicates,that,supposed,happen,didn't,quantum,fluctuation
Nichols	That's,beat,tennis,rackets
Gore	don't,make,event,happen,entire,universe,destroyed,environmentalist,I'm
Fry	chair,tilted,fell,freezer,thingy
Hawking	Hawking,Chamber
Fry	instead,falling,getting,frozen,missed,wanged,head
Gore	it's,obvious,happened,wang,head,killed
Fry	Uh
Nichols	Let's,finish,job
Gore	Wait,peaceful,,
Hawking	Hold
Deep Blue	Check
Fry	Ow,Ow,Ow,Ow
Nichols	Something's,wrong,Murder,isn't,working,that's,we're,good
Gygax	Let's,try,Maybe,should,,
Gore	dice,away,away
Nichols	Wait,I'm,getting,idea,Fry,supposed,frozen
Hawking	Yes,Shove,tube,idea
Bender	Hey,brought,nerds
Gore	tube,dummy,seconds,universe,destroyed
Fry	Alright,need,weapon,fight,drunken,robots,wake
Gygax	plus,one,mace
Fry	OK
Gore	fool,foolish,fool
Fry	Eh,what's,worst,thing,happen
Hawking	Great,entire,universe,destroyed
Fry	Destroyed
Gore	don't,know,darn,tell,we're,universe
Nichols	Eternity,nerds,It's,Pasadena,Star,Trek,convention
Gygax	wanna,play,Dungeons,Dragons,quadrillion,years
Fry	Sure
Hawking	guess
Deep Blue	Pawn,rook,8
Gore	I'm,10th,level,Vice,President
Farnsworth	story,preposterous,Stephen,Hawking,pizzeria,thing,isn't,worth,gold,it's,fing,longer,arousing,success
Fry	Good,work
Leela	Congratulations
Amy	Right,Professor
Farnsworth	that's,things,like,I'd,invented,fing,longer,man,dream,man,dream
